studie	sd1	byear	alkohol	rosiner	traethed	farve	boldoje
jordbrugsøkonomi	NA	1998	NA	NA	NA	pink	ja
naturressourcer	ja	1996	C	med	99	pink	ja
naturressourcer	ja	1994	C	uden	76	grøn	ja
biologi-bioteknologi	ja	1998	C	uden	7	pink	ja
biologi-bioteknologi	nej	1997	C	med	30	grøn	ja
biologi-bioteknologi	NA	NA	NA	uden	NA	pink	ja
biologi-bioteknologi	ja	1995	C	med	25	pink	ja
naturressourcer	nej	1987	B	med	50	grøn	ja
biologi-bioteknologi	ja	1996	B	uden	8	grøn	ja
biologi-bioteknologi	ja	1994	A	uden	30	grøn	ja
naturressourcer	nej	1997	B	uden	80	grøn	ja
biologi-bioteknologi	nej	1997	C	uden	4	grøn	ja
biologi-bioteknologi	nej	1998	B	uden	40	pink	ja
husdyrvidenskab	ja	1997	B	uden	30	grøn	ja
geografi	ja	1992	B	uden	75	grøn	ja
biologi-bioteknologi	ja	1999	A	med	75	grøn	ja
naturressourcer	nej	1996	B	uden	4	pink	ja
biologi-bioteknologi	ja	1995	C	uden	33.33	grøn	ja
biologi-bioteknologi	ja	1996	B	uden	35	grøn	ja
husdyrvidenskab	nej	1997	A	NA	40	pink	ja
husdyrvidenskab	nej	1998	B	uden	69	pink	ja
husdyrvidenskab	ja	1992	B	uden	25	pink	ja
naturressourcer	nej	1996	B	med	10	grøn	ja
husdyrvidenskab	nej	1995	B	uden	5	pink	ja
naturressourcer	nej	1992	B	uden	100	grøn	ja
biologi-bioteknologi	nej	1999	B	med	4	grøn	ja
biologi-bioteknologi	NA	1993	B	uden	50	pink	ja
biologi-bioteknologi	ja	1995	C	uden	5	pink	ja
biologi-bioteknologi	ja	1997	C	uden	20	grøn	ja
biologi-bioteknologi	ja	1998	A	uden	10	pink	ja
biologi-bioteknologi	nej	1993	B	med	30	grøn	ja
biologi-bioteknologi	ja	1996	B	uden	30	grøn	ja
biologi-bioteknologi	ja	1997	B	uden	8	grøn	ja
biologi-bioteknologi	nej	1998	B	uden	7	grøn	ja
biologi-bioteknologi	ja	1994	C	med	1	grøn	NA
biologi-bioteknologi	nej	1997	B	uden	4	pink	ja
naturressourcer	ja	1986	B	uden	90	pink	ja
biologi-bioteknologi	ja	1997	B	uden	25	grøn	ja
biologi-bioteknologi	ja	1998	B	med	2	grøn	ja
husdyrvidenskab	nej	1998	B	med	30	pink	ja
husdyrvidenskab	nej	1994	B	med	5	grøn	ja
jordbrugsøkonomi	ja	1996	C	uden	60	pink	ja
biologi-bioteknologi	ja	1997	B	uden	30	grøn	ja
biologi-bioteknologi	ja	1994	B	uden	0	pink	NA
husdyrvidenskab	nej	1996	A	med	10	pink	NA
husdyrvidenskab	nej	1997	A	uden	5	grøn	NA
biologi-bioteknologi	nej	1996	C	med	80	grøn	NA
naturressourcer	ja	1993	A	uden	78	grøn	nej
naturressourcer	ja	1996	B	uden	40	grøn	nej
biologi-bioteknologi	nej	1996	B	uden	6	pink	nej
biologi-bioteknologi	ja	1994	B	uden	54	grøn	nej
jordbrugsøkonomi	ja	1998	B	uden	44	pink	nej
naturressourcer	ja	1995	B	med	6	pink	nej
biologi-bioteknologi	nej	1994	C	uden	45	grøn	nej
jordbrugsøkonomi	ja	1997	C	uden	48	grøn	nej
husdyrvidenskab	ja	1998	B	uden	6	grøn	nej
biologi-bioteknologi	ja	1996	B	med	69	grøn	nej
husdyrvidenskab	ja	1996	B	uden	60	pink	nej
husdyrvidenskab	ja	1997	B	uden	30	pink	nej
biologi-bioteknologi	ja	1998	C	med	8	grøn	nej
naturressourcer	ja	1996	B	uden	70	pink	nej
biologi-bioteknologi	ja	1996	C	uden	7	pink	nej
jordbrugsøkonomi	NA	1998	NA	NA	NA	grøn	nej
husdyrvidenskab	ja	1998	B	uden	50	grøn	nej
naturressourcer	ja	1992	B	med	7	pink	nej
naturressourcer	ja	1996	B	uden	60	pink	nej
jordbrugsøkonomi	ja	1996	C	uden	3	grøn	nej
naturressourcer	ja	1995	C	uden	55	grøn	nej
jordbrugsøkonomi	ja	1999	C	uden	43	pink	nej
husdyrvidenskab	ja	1997	A	NA	80	grøn	nej
biologi-bioteknologi	nej	1997	B	uden	4	pink	nej
biologi-bioteknologi	nej	1996	B	uden	30	grøn	nej
biologi-bioteknologi	ja	1997	B	uden	3	grøn	nej
naturressourcer	ja	1994	C	uden	40	grøn	nej
jordbrugsøkonomi	ja	1997	C	uden	8	grøn	nej
naturressourcer	nej	1994	C	uden	5	pink	nej
biologi-bioteknologi	nej	1996	B	uden	50	pink	nej
biologi-bioteknologi	ja	1996	C	uden	7	pink	nej
naturressourcer	ja	1996	B	med	10	grøn	nej
jordbrugsøkonomi	ja	1997	C	uden	60	pink	nej
naturressourcer	ja	1996	B	uden	30	grøn	nej
biologi-bioteknologi	ja	1997	A	uden	75	grøn	nej
biologi-bioteknologi	ja	1998	B	uden	20	grøn	nej
naturressourcer	nej	1996	B	med	100	grøn	nej
naturressourcer	ja	1997	NA	med	NA	grøn	nej
naturressourcer	NA	1995	B	uden	65	pink	nej
biologi-bioteknologi	ja	1995	B	uden	NA	grøn	nej
naturressourcer	ja	1996	B	uden	0	grøn	nej
naturressourcer	ja	1991	B	uden	15	grøn	nej
biologi-bioteknologi	ja	1997	NA	uden	10	pink	nej
biologi-bioteknologi	ja	1997	C	uden	3	grøn	nej
naturressourcer	ja	1996	B	uden	50	pink	nej
naturressourcer	nej	1997	B	uden	6	pink	nej
husdyrvidenskab	ja	1998	C	uden	50	grøn	nej
husdyrvidenskab	ja	1990	NA	uden	NA	pink	nej
naturressourcer	ja	1996	B	med	40	grøn	nej
